users,items
3228,0
77,0
3572,1
4511,2
2238,2
3626,2
812,2
2352,2
1890,2
2485,2
2296,2
380,2
4365,2
2363,2
415,2
4917,2
4639,2
5,2
4331,2
4174,2
1531,3
4821,3
3860,3
982,3
268,3
4853,3
4062,4
4525,5
4137,6
1026,7
715,8
4151,9
319,9
598,9
2910,9
4173,9
4076,9
1105,9
4900,9
3888,9
2366,9
4635,9
2865,9
218,9
1025,9
335,10
4314,11
986,12
4525,14
1709,15
2178,16
3858,17
1169,18
207,18
3084,19
1989,20
907,21
627,22
3436,23
1989,23
1989,24
2339,26
4337,27
2945,27
982,28
814,29
1595,30
4137,30
4802,30
2238,31
1529,32
2238,32
3862,32
3735,32
4955,33
2238,34
3677,35
4369,36
1461,37
2640,37
1797,38
3722,39
2238,40
3731,40
1724,40
4126,41
3862,41
1579,41
4779,42
3410,43
1741,44
3136,44
4897,45
3922,46
1163,48
1179,48
335,48
3623,48
2525,48
3436,48
270,48
3060,48
183,48
667,48
3327,48
1796,48
3395,48
208,48
2832,48
1242,48
4971,50
3982,50
4697,51
3677,52
2238,52
3862,52
4591,53
1036,54
4351,55
4351,56
1102,56
3285,57
2346,57
4821,58
1586,59
4556,60
4766,60
3486,60
1825,60
2750,61
2699,62
4155,63
3096,63
4925,63
3884,63
1944,64
660,65
2860,66
1245,66
1305,67
4338,68
2275,70
143,70
4373,70
3578,71
4425,72
4137,73
3579,74
524,75
2274,75
3273,76
2238,77
673,77
2754,77
3088,77
4373,77
3300,77
2495,78
3862,78
4984,79
4591,79
3579,79
4351,79
3816,80
3620,81
3651,81
317,81
982,81
4091,81
3123,81
1062,81
4351,81
1507,83
359,84
2981,85
3373,86
1612,87
1163,88
1046,88
4560,88
3541,89
2702,90
473,91
2082,93
4619,93
4639,93
2705,93
2206,94
1965,95
2302,96
2696,96
4525,96
2712,96
4616,99
3935,100
540,100
4668,100
4525,100
4486,100
2860,101
3765,101
807,102
1635,103
3188,105
139,106
4836,107
3089,108
1531,109
4984,109
4821,109
1222,109
2962,109
1595,109
607,109
4192,109
2643,109
1591,109
408,109
950,109
1186,109
766,109
2206,109
1339,109
4331,109
966,109
387,109
3387,109
3701,109
3765,109
4599,109
808,111
3620,112
2223,112
673,112
1263,112
2352,112
2050,113
3513,113
2431,114
319,115
2816,115
2294,115
1809,115
1965,116
3156,116
2596,117
4294,117
4797,117
1956,117
2799,118
119,118
833,119
1993,120
816,121
4666,122
3328,122
2335,122
573,122
3911,122
1609,122
2645,122
2211,122
3164,122
3297,122
2195,122
645,122
3512,122
3096,122
4873,122
1979,122
4413,122
3601,122
218,122
1550,122
2280,122
2825,122
194,122
1067,122
4666,123
2036,123
573,123
4305,123
4821,123
272,123
2645,123
3947,123
1256,123
3512,123
3096,123
4273,123
3576,123
4143,123
1852,123
4700,123
4795,123
3601,123
1385,123
3089,123
4351,124
524,125
2274,125
2572,126
4905,126
2663,126
436,126
3735,126
2366,126
4936,126
2729,126
1934,126
2558,127
1715,128
4714,129
2146,130
4276,131
3377,132
738,133
1442,133
982,135
3499,135
4413,136
314,137
2910,138
4518,139
3381,140
4351,141
42,143
4824,143
3524,144
2670,145
4685,145
3798,145
1181,146
3430,147
1589,148
1631,149
108,149
1555,149
4770,149
1072,149
335,150
3436,150
532,150
3486,150
1989,150
1563,150
3680,151
3669,151
925,151
1866,152
4637,153
4072,153
4594,153
3179,154
1731,155
762,156
481,157
4813,158
240,159
4341,160
2672,162
329,163
1839,164
4341,165
3425,166
1381,167
4448,168
4837,169
4257,170
2283,171
2026,174
1960,175
3898,176
2640,177
883,178
1384,179
3794,180
4321,180
1725,181
77,181
3347,182
2495,183
3379,184
2945,184
3373,185
1644,186
2101,187
4079,189
457,190
4362,191
2238,192
4272,193
3088,194
2978,194
4501,195
1797,196
4351,198
3519,199
3258,200
2354,202
737,203
1609,203
1418,203
1935,203
2475,203
2752,203
1509,203
218,203
4331,203
4582,203
4351,204
2238,205
4656,206
982,206
553,206
2860,208
1609,209
4766,209
4591,211
4821,212
4351,212
2294,213
3301,214
1906,215
3781,215
4639,215
745,215
3704,216
4971,217
802,218
4441,219
1679,220
331,221
767,222
4971,223
4835,224
4351,225
490,226
3862,227
3152,228
331,229
3798,230
3898,231
3365,232
2307,233
1579,234
4525,235
523,236
2376,237
3862,238
1338,239
1338,240
1844,241
3259,242
3153,244
2594,245
3722,246
2109,248
2302,249
2685,250
877,251
2599,252
335,252
3892,252
4478,252
243,252
3096,252
2485,252
1372,252
4167,252
3722,252
