users,items
4226,0
4470,0
405,1
2974,1
251,1
2626,1
1953,2
249,3
371,4
4962,4
3698,5
4244,5
4962,5
3930,6
4905,7
1843,7
2472,7
1813,7
474,7
994,7
1796,7
3790,7
3646,7
1092,7
1740,7
1785,7
3583,7
1969,7
1765,7
849,7
4583,7
4241,7
1410,7
2351,7
4998,7
2184,7
1507,7
646,8
2795,8
516,8
1829,9
4399,10
2034,10
4442,11
4832,12
4832,13
1306,15
3718,15
2197,16
2793,17
2354,18
4643,19
2187,20
3298,21
1209,21
1687,21
2472,22
2609,22
4128,22
4966,22
3461,22
2472,23
581,23
3775,24
581,24
2391,24
2016,25
1475,26
3402,26
4365,26
1825,27
3603,28
2723,28
3945,28
4305,28
1245,28
3136,28
3238,28
4086,29
299,29
3520,29
3530,29
4526,30
2617,30
2868,31
944,32
7,33
3284,34
4788,34
827,34
3530,34
1812,35
2589,36
319,36
3037,37
1243,38
4354,38
327,38
641,39
230,39
3363,39
1739,40
3230,40
1863,40
2989,40
1879,40
3478,41
3381,42
934,43
436,44
1633,44
1275,45
4295,45
1822,45
3050,45
4079,45
2841,45
3344,45
3034,45
2154,45
4764,45
1006,46
774,47
3834,48
4592,48
4232,48
4204,48
2750,49
2323,49
3099,49
573,49
581,50
322,50
1959,50
3446,50
4871,50
3479,51
2456,51
231,51
1939,51
1813,52
2831,53
2924,53
3535,53
780,53
2840,54
978,54
4643,54
1525,54
2075,54
2391,54
3539,55
2916,55
2279,55
3254,55
4615,55
2324,55
1324,55
1642,55
1879,55
2606,55
4541,55
1691,56
1432,56
4304,56
2481,56
573,56
3488,57
3586,58
730,59
3047,60
1641,60
791,60
323,60
2481,60
2435,60
3129,60
1642,60
824,60
901,60
4244,61
613,63
1988,63
4074,63
3190,64
1324,64
1573,64
4262,64
1324,65
3539,65
4907,65
2221,65
3965,65
1597,65
1019,66
4210,66
2474,67
4365,68
1800,69
768,70
3113,71
1060,71
1757,71
3188,71
4736,71
4150,71
1752,71
3660,71
496,71
4612,71
3181,72
2628,72
3689,72
1435,73
2183,73
4224,73
4718,73
4811,73
2615,73
2654,73
1000,73
3644,73
3984,74
1432,74
4038,74
2118,75
437,75
3872,75
438,75
791,76
2841,76
3190,77
2469,77
691,77
19,77
918,78
3241,78
2849,79
2117,79
2100,79
2081,80
1026,82
4670,82
3014,82
4391,82
4635,82
4899,83
2214,84
2474,86
730,87
985,87
581,87
1107,87
2261,87
2409,87
779,87
2824,88
4920,88
129,89
3101,90
732,90
4563,91
620,91
3700,91
3733,92
3717,92
3768,92
1520,92
2919,92
921,93
2118,94
4764,94
3580,95
4449,96
886,96
3203,97
3496,98
2097,98
1687,98
4834,98
2774,99
2056,99
175,99
4842,99
3805,100
110,100
1762,101
321,101
1444,102
4244,102
2912,102
569,102
4424,103
856,104
2735,104
856,105
2750,106
2520,106
3109,106
2533,107
2809,108
147,109
1633,109
3597,109
1642,109
575,110
400,110
3190,110
1801,110
2366,110
20,110
1876,110
3598,110
2919,110
280,110
730,111
1006,111
4859,111
1840,111
1398,112
3727,112
438,112
2472,113
3745,113
1776,113
3010,113
3612,114
261,114
4203,114
3525,114
1302,114
4917,114
1238,114
2334,114
3010,114
3733,115
2774,115
3814,115
664,115
3213,115
940,115
2807,116
314,117
1925,118
3014,118
259,119
3700,119
