reviewerID,asin,overall,unixReviewTime
A3FI0744PG1WYG,000100039X,5.0,1390953600
A11TYILTAFKPR3,000100039X,5.0,978480000
A3P4BVS6UQYW3P,0001473123,4.0,1370044800
AMXPULP9J0FDZ,0002007770,4.0,1357689600
A2PHBOYIJ2FH75,0002007770,5.0,1360972800
A2PWUIQG57O1AZ,0002007770,4.0,1182124800
A3Q9PBHMI0DVHT,0002007770,5.0,1159142400
A1MDNC5TGMMWTB,0002007770,5.0,1370390400
AKFWOKS287JFA,0002007770,4.0,1180137600
A2SYL4EZ5UUZ4Z,0002007770,5.0,1207353600
A2FQY9XGSEIAJK,0002007770,5.0,1182988800
A2WJC8K1PN8HLW,0002007770,5.0,1296604800
A2RGIY8FXN5FM5,0002007770,5.0,1344643200
A19XD7OBJOKLV2,0002007770,5.0,1250812800
AF62K3VZXG82,0002007770,2.0,1174694400
AJ4GOWMN12C54,0002007770,5.0,1255737600
A2TGH5U808H5BX,0002007770,2.0,1233187200
A1ANMVW0EWQAC7,0002007770,5.0,1322870400
AXO8CRINPTNT3,0002007770,4.0,1186012800
AQ6SJVPZ6P6DC,0002007770,5.0,1252627200
A04816858XKO02H7BRNX,0002007770,4.0,1357084800
AIFTMTJ6JIGM0,0002007770,4.0,1299801600
AE4PE48Q2794I,0002007770,5.0,1313625600
A1UKNI3J1QWW58,0002007770,5.0,1197590400
A26PQSIN6SIGK0,0002051850,4.0,1395792000
AUWS4WEQ3GS53,0002051850,5.0,1180224000
A5E7FN355EYBC,0002051850,5.0,1154131200
A1RECBDKHVOJMW,0002051850,5.0,1119571200
A1725TI23A8AZ5,0002051850,3.0,1373328000
AVTCTT8TM0JUY,0002051850,5.0,1396310400
AAWLCKMUX34E6,0002219417,1.0,1369785600
AN9TLUKFAJHP8,0002222590,4.0,960336000
AD1JHVVAHUAEY,0002226618,5.0,1384128000
A1SU3URWXTO16,000224053X,5.0,1387756800
A1JNQBZHR3DZFR,0002242052,5.0,1309996800
A1IPOX0XHJN6P0,0002247399,1.0,1321833600
ADBABNDC81FB1,0002247399,5.0,1404432000
A187JA7XRK26NP,0002247399,4.0,1315094400
A1G1XJO6Q9T85R,0002247399,4.0,1366588800
A37DI6VAYJKCDI,0002247399,3.0,1404777600
AE2H7FL0WL988,0002247399,4.0,1349654400
ABBYPYJAD3A9G,0002247399,4.0,1310860800
A20LYONDFIKNFQ,0002247399,4.0,1384473600
A1UVGBPSVPEAC3,0002247399,2.0,1313971200
AX1GYLCAS0LOV,0002247399,4.0,1402099200
A6BK1ZERFSZDV,0002247399,5.0,1403568000
A2TJM3OWGWHJ1B,0002247399,5.0,1404259200
AQ3N0NXTP1W2E,0002247399,3.0,1312070400
A36H168EFEW3TP,0002247399,2.0,1311465600
A15RDGDH40H4UP,0002247399,1.0,1321315200
A1SSTJ6UPPMYXD,0002247399,5.0,1393200000
A18PZ0OXQU3X2Z,0002550938,1.0,1006819200
