users,items
1843,0
1698,0
40,1
2359,2
4255,2
564,3
2402,4
3309,5
4191,6
4657,6
4063,8
2751,9
4601,10
1731,10
1841,10
1801,11
2858,12
1737,13
335,14
4245,14
3398,15
1782,16
2594,17
163,18
4000,18
1675,18
1235,18
2479,18
3558,18
4993,19
601,19
2479,19
573,20
69,21
1152,21
2843,21
3204,21
2496,21
2882,21
573,22
421,23
4413,24
3070,24
1291,25
3353,26
2254,27
3325,28
2831,28
783,29
3065,29
334,30
2882,30
2851,31
2630,33
2359,34
2153,35
668,36
1588,36
579,37
4834,38
3328,39
4786,40
2980,40
3326,40
1733,41
3345,42
2033,42
759,42
1178,42
905,42
1611,43
2072,44
1175,44
3651,45
4874,45
451,46
4874,46
3085,47
2263,48
4460,49
2035,50
1259,50
2781,50
1146,50
73,50
3705,50
397,50
1284,50
1325,50
3206,50
933,51
1934,51
3705,51
811,51
657,52
1934,52
3830,52
2435,52
1811,52
3306,52
853,52
4986,52
3159,52
1553,52
3920,52
1531,53
4104,53
2435,53
2034,55
3530,56
3967,56
4441,57
3755,58
681,58
2391,58
2094,58
3473,58
1167,59
2389,59
4082,59
725,60
1963,60
3601,60
1919,60
1649,61
486,62
4621,62
3852,63
2927,63
2751,63
162,64
336,65
2152,66
115,67
2680,67
4,67
1698,67
1635,68
1175,68
1305,69
3762,69
2459,69
3253,69
3678,69
1785,69
3745,70
3105,71
2927,72
2215,73
2346,74
4375,74
2057,74
2751,75
1198,76
979,77
4433,77
2751,78
4769,79
1698,79
1439,80
2652,80
3007,81
3829,82
4525,83
1549,83
53,84
336,85
22,85
4902,85
3511,85
4327,86
1461,86
2908,88
2820,89
776,91
1084,92
4213,92
4884,93
1447,93
1901,94
4132,95
507,96
819,96
1122,97
2945,98
1751,98
861,99
115,100
2466,100
1884,101
1072,102
1836,102
2393,103
4479,103
4769,104
4913,105
1816,106
663,107
1082,107
3971,108
22,109
366,110
2644,111
3769,111
1782,111
2781,112
607,112
3194,113
1731,113
4146,113
1369,113
3746,114
3607,115
3940,116
144,116
4731,117
4146,117
2871,118
2077,118
1594,119
3246,120
336,121
1936,122
2820,123
2787,124
2780,124
2281,125
3611,125
366,126
4438,126
2111,127
3194,127
1082,127
2645,128
668,129
2850,129
2908,130
3355,131
421,131
3765,131
2999,131
1488,132
358,133
3864,133
4413,133
2971,134
4979,135
4537,136
3558,136
3355,137
3065,137
4268,137
1291,137
3245,138
1475,138
487,138
3769,138
4525,139
2803,139
3258,139
4433,139
3642,140
2120,141
1826,143
3692,143
1434,144
977,144
3320,144
3619,144
2730,145
554,145
264,145
3190,145
3931,145
4409,145
1862,145
2542,146
2035,146
1675,146
1955,146
2302,147
2663,147
2644,148
2501,149
418,149
1635,149
3975,149
4907,149
3805,149
668,151
2850,151
155,152
2334,152
1830,152
22,152
4157,152
2787,152
4273,152
464,153
1902,153
4268,153
853,154
4791,155
4191,156
2050,160
2705,161
2846,162
3262,163
4063,163
4146,163
3642,163
3442,163
1409,163
3099,164
3852,165
4191,166
2730,166
577,166
3852,167
4281,167
1606,167
4993,168
3370,169
3546,170
3741,170
2135,170
4278,170
589,172
1782,173
156,174
3250,175
2502,175
3692,175
1175,175
1954,175
554,176
2841,177
679,177
1316,178
3150,179
1475,179
2955,180
3516,181
4913,182
3326,183
515,184
4800,185
2758,185
2017,185
3745,185
1987,186
3262,187
2794,188
3370,189
3370,190
1689,191
3262,192
3250,193
2466,194
4063,194
1369,194
2240,195
1105,196
1020,197
1920,198
1158,198
2077,198
1204,199
2069,199
1269,199
2897,200
1679,201
1629,202
3765,203
2612,205
1856,206
3262,206
1259,206
1836,206
114,206
3897,206
2534,207
4911,208
691,209
24,210
4487,211
3238,212
3747,214
2945,215
2684,215
430,215
3997,216
1631,217
1952,218
2546,219
855,220
4525,221
3657,221
2017,222
1674,224
3519,224
2727,225
2057,226
1856,227
3150,227
4902,227
3171,229
631,230
923,231
328,232
2317,232
784,232
2122,232
1041,232
4010,232
1698,232
1436,232
3262,233
2153,233
3262,234
1952,235
607,236
1535,236
698,237
1352,237
2363,238
1987,238
3771,239
336,240
984,240
2582,240
4305,240
1993,240
4782,240
377,240
4132,240
1322,240
2652,240
712,240
1508,240
1244,240
1533,240
4191,241
681,242
3607,244
3590,244
1108,245
4939,246
2560,248
2015,249
4939,249
2344,249
1540,249
4297,250
2113,251
844,251
3948,252
3194,253
105,254
2,255
2725,256
1182,256
2571,256
1735,256
4566,257
3401,257
3195,257
334,257
2687,258
495,259
1101,259
3407,260
3826,260
3883,260
2831,260
4347,260
3567,260
1471,261
4755,261
1416,261
4603,261
4526,261
2501,261
2346,261
1305,261
3826,261
3903,261
4581,261
492,261
1346,261
1600,261
1041,262
1076,263
1365,264
679,265
4010,265
2802,266
3471,267
61,267
4207,267
1955,268
748,268
543,269
1962,271
4303,272
367,273
4757,274
3935,275
3162,277
2364,278
2870,279
2870,280
2337,281
4757,281
3172,282
3054,283
4074,283
1476,284
1992,285
4352,286
950,287
3178,288
4985,289
4932,290
4932,291
1941,292
183,292
4932,293
