users,items
3203,0
2987,0
1430,0
387,0
2271,0
3211,0
2818,0
4885,0
164,0
1747,0
3139,0
4377,0
1511,0
368,0
245,0
1465,0
1212,1
1350,1
3686,1
801,1
4700,1
1254,1
152,1
1684,1
3113,1
4122,1
4257,1
3872,2
2734,2
1876,2
4287,2
3642,2
4640,2
447,2
4265,2
839,2
4044,2
4647,2
3756,2
164,2
4750,2
1747,2
1622,2
3898,2
4639,2
2732,2
1323,2
1043,2
2451,2
1139,2
810,2
433,2
4850,2
2447,2
3932,2
579,2
1435,2
2381,2
1277,2
933,2
2828,2
3435,2
1475,2
3718,2
4298,2
3895,2
1732,2
452,3
1438,3
523,3
3337,3
1528,3
691,3
199,3
2813,3
4355,3
2730,3
1165,3
388,3
2425,3
2479,3
2073,3
4253,3
2987,3
2932,3
1246,3
3261,3
1480,3
4568,3
2762,3
3273,3
4726,3
1632,3
331,3
1055,3
3870,3
333,3
3842,3
4030,3
3142,3
1714,3
1800,3
124,3
81,3
1757,3
4898,3
4672,3
4973,3
1600,3
1797,3
1774,3
1987,3
4396,3
140,3
4952,3
1770,3
1441,3
1409,3
102,3
3186,3
610,3
1967,3
4719,3
2905,3
2669,3
1116,3
2014,3
1541,3
3742,3
3593,3
3174,3
126,3
4269,3
4342,3
918,3
665,3
2213,3
4750,3
873,3
1747,3
4621,3
3481,3
4371,3
1425,3
321,3
3636,3
1247,3
2853,3
877,3
2484,3
2688,3
3393,3
760,3
2786,3
4655,3
608,3
2134,3
3132,3
1079,3
1897,3
668,3
3657,3
3275,3
1392,3
2416,3
132,3
2355,3
3058,3
3845,3
3697,3
1281,3
2222,3
693,3
1475,3
4676,3
3895,3
1469,3
1705,3
3988,3
1732,3
572,4
4339,4
1632,4
2052,4
3791,4
3314,4
1797,4
4038,4
2094,4
4750,4
2349,4
2225,4
1986,4
1868,4
2660,4
790,4
2036,4
202,5
1130,5
3499,5
2744,5
2476,6
1643,6
2910,6
2603,6
2459,6
2476,7
1643,7
2910,7
2603,7
2459,7
2476,8
1774,8
207,8
1643,8
2910,8
2603,8
2459,8
1849,8
2162,8
4963,9
331,9
3675,9
1774,9
586,9
1778,9
1643,9
557,9
2910,9
2603,9
4569,9
2459,9
1043,9
3895,9
960,9
4276,10
556,10
3037,10
1774,10
1778,10
1643,10
2910,10
3558,10
1270,10
55,10
3647,10
3918,10
2428,11
4734,11
1850,11
1126,11
2518,11
2071,12
3828,12
1287,12
3083,12
860,12
1531,12
2769,12
58,12
4751,12
4192,12
1894,12
4974,12
4893,13
1888,13
1651,13
2063,13
4632,13
4216,13
1741,13
3299,13
4079,13
1119,13
4370,13
1678,13
125,13
1888,14
1786,14
4871,14
4831,14
3847,14
3406,14
3135,14
2165,14
3471,14
278,14
3261,15
4871,15
3135,15
716,15
2165,15
3471,15
249,15
4131,15
3337,16
691,16
3370,16
1710,16
225,16
4614,16
608,16
691,17
608,17
2130,17
691,18
3686,18
2513,18
2271,18
934,18
3315,18
4179,18
237,18
3742,18
4472,18
3670,18
4079,18
1043,18
3016,18
1237,18
4735,18
859,19
4953,19
4079,19
266,19
2943,19
828,19
1469,19
4331,20
4012,20
1844,20
3614,20
4016,20
1327,20
59,20
559,20
4670,20
245,20
1343,20
761,20
1891,21
4831,21
1570,21
3135,21
2611,21
265,21
1891,22
2762,22
1461,22
4632,22
4216,22
284,22
1365,22
4052,22
2943,22
828,22
3288,23
3847,23
3135,23
2788,23
3708,23
188,23
2968,23
4204,24
150,24
3135,24
4216,24
2878,24
3299,24
4041,24
4893,25
413,25
1888,25
1891,25
1461,25
966,25
3693,25
4411,25
4632,25
1499,25
4216,25
2883,25
1741,25
284,25
266,25
4928,25
2165,25
2943,25
3429,25
4501,25
1053,25
1158,25
2329,25
4844,26
1891,26
764,26
3847,26
3135,26
2788,26
188,26
2968,26
1891,27
4204,27
1570,27
3135,27
4216,27
2561,27
3299,27
418,27
265,27
188,27
3337,28
3686,28
1032,28
3086,28
1102,28
3861,28
3607,28
645,28
1677,28
2066,28
3238,28
45,28
3134,28
152,28
3610,28
1149,28
3742,28
367,28
2065,28
2181,28
697,28
4479,28
4436,28
4079,28
2277,28
4439,28
4052,28
2130,28
4131,28
3337,29
801,29
4700,29
3345,29
2030,29
3847,29
2871,29
4917,29
1710,29
4493,29
2267,29
678,29
972,29
3670,29
4079,29
4081,29
2206,29
257,29
161,29
3429,29
3895,29
1469,29
1153,29
384,30
4629,30
1997,30
4700,31
4204,31
4118,31
4629,31
3471,31
3588,31
4893,32
1891,32
4204,32
4118,32
4629,32
901,32
6,32
3471,32
474,32
358,32
188,32
3429,32
4068,32
4131,32
4987,33
4700,33
2656,33
2788,33
483,33
2204,33
3471,33
1891,34
966,34
3888,34
4632,34
2883,34
4436,34
2171,34
2278,34
2943,34
2379,34
1053,34
3071,34
4204,35
152,35
4216,35
184,35
2204,35
2157,35
4052,35
188,35
3337,36
1102,36
3607,36
4117,36
2871,36
1037,36
4839,36
0,36
3742,36
697,36
1525,36
4505,36
857,36
4079,36
2277,36
4052,36
3912,36
3847,37
2123,37
4052,37
188,37
470,37
737,38
785,38
1891,38
3847,38
3135,38
2788,38
2548,38
1780,38
2811,38
3559,38
1573,38
188,38
4270,38
2930,38
775,39
4097,39
673,39
691,39
2824,39
2198,39
4700,39
3631,39
738,39
