reviewerID,asin,overall,unixReviewTime
A3EBHHCZO6V2A4,5555991584,5.0,1158019200
AZPWAXJG9OJXV,5555991584,5.0,991526400
A38IRL0X2T4DPF,5555991584,5.0,1058140800
A22IK3I6U76GX0,5555991584,5.0,957312000
A1AISPOIIHTHXX,5555991584,4.0,1200528000
A2P49WD75WHAG5,5555991584,5.0,1059523200
A3EJYJC25OJVKK,5555991584,5.0,1040428800
A1DA8VOH9NR6C7,5555991584,5.0,1167868800
A33TRNCQK4IUO7,5555991584,5.0,1052697600
AWY3EPKEOUV1W,5555991584,5.0,978393600
A1SCJWCMQ3W3KK,5555991584,4.0,1360454400
A14BTJRH9VNLJJ,5555991584,5.0,1375142400
A2AOZQ3WTNVVOK,5555991584,5.0,1108425600
A1BXA3SM3AJOKL,5555991584,4.0,1114473600
A3CCYAQRHUTPIQ,5555991584,5.0,958867200
AHUT55E980RDR,5555991584,5.0,995328000
A24N1BAS3CU27H,5555991584,5.0,1123459200
A19YHEBK099R7U,5555991584,4.0,1261094400
A16KCH578FG4B4,5555991584,5.0,1044921600
A3UBAZKS727Z0E,5555991584,5.0,1330819200
A23H9KY3Q1YJ2N,5555991584,5.0,1027555200
AYZCMVSSL4X4B,5555991584,5.0,971827200
A1W3ZAKFIDGM13,B0000000ZW,5.0,1190937600
A200C7YQJ45LRR,B0000000ZW,4.0,1017014400
A3RNC9BGR4J1ZF,B0000000ZW,5.0,1055116800
A1L8IB1K8ETJW9,B0000000ZW,3.0,996278400
ARFL4OAG9CI1H,B0000000ZW,5.0,959731200
A1X93ES4DITTWK,B0000000ZW,1.0,1146182400
A141XAG09QATRB,B0000000ZW,5.0,1096070400
A28N19JIB5161D,B0000000ZW,5.0,1200873600
A3BLMCU4V5J2DX,B0000000ZW,5.0,955152000
AAQMHLS8BN9YJ,B0000000ZW,4.0,1071100800
AE9GUE3HHOX3U,B0000000ZW,5.0,1252627200
A4BPK6TYITJS,B00000016T,5.0,950227200
A31KXTOQNTWUVM,B00000016T,5.0,1386288000
A2EENLV6OQ3DYM,B00000016T,5.0,979430400
AEUY86R8JQZWC,B00000016T,5.0,1087948800
A3QEW0HMXQRWT9,B00000016T,5.0,974851200
A1O8U0FEBTGRJP,B00000016T,5.0,953769600
APOGXH3A74CM3,B00000016T,5.0,1068508800
A1BW7LM8PQ7LO4,B00000016T,5.0,1009756800
AEFRJ6ZBKGZV2,B00000016T,5.0,1122076800
A1M1PPER44S9AI,B00000016T,4.0,1158537600
A8MWQY1R5YE3M,B00000016T,5.0,1036800000
A10I9Y44HCRPG,B00000016T,2.0,1276905600
APTL3KI55TM8T,B00000016T,5.0,1349913600
A3T9IX8EDFDX4G,B00000016T,5.0,1076630400
A14BTJRH9VNLJJ,B00000016T,5.0,1366675200
ASSCA9IS0GWF5,B00000016T,5.0,1213833600
A2AOZQ3WTNVVOK,B00000016T,5.0,1038355200
A275DIY2RW2YQS,B00000016T,5.0,1117756800
A4VVYYB68NL4Z,B00000016T,4.0,1202774400
APN6DO7VHDLTN,B00000016T,5.0,1150243200
A31I5XTQ5BAR9F,B00000016T,5.0,1393891200
A1Z3DUZZ8IUFVY,B00000016T,5.0,1269475200
A1RJD10TTI568L,B00000016T,4.0,1058832000
A2TX79GR278JMA,B00000016T,5.0,1235001600
A1U2T71CDVKFRH,B00000016T,5.0,1376697600
A1LDAIGOQ6N4DW,B00000016T,5.0,1154908800
A1BJJVV2B5VLUQ,B00000016T,5.0,959212800
AW3FTPCBPVQNB,B00000016T,5.0,1016668800
A2TSHD7SWDGS58,B00000016T,5.0,1165708800
A5KJVGJ43ZDC9,B00000016T,5.0,1014681600
A1FFPPPIOSI36M,B00000016T,4.0,1296086400
A22N03OBDDVSEB,B00000016T,5.0,1294358400
A2SF8H9HGK194L,B00000016T,5.0,1393459200
A1XVYE0A34BDKR,B00000016T,5.0,1167696000
A1OML05BTJBEKS,B00000016T,5.0,1237766400
A3464G00K8ZYD1,B00000016T,5.0,1130544000
A3KJ6JAZPH382D,B00000016T,5.0,1067212800
A23LCEFE2BWE5F,B00000016T,5.0,1268352000
A3SFN7ECK78CEV,B00000016T,5.0,1051228800
AFEN54UGJQOK9,B00000016T,5.0,1134691200
A4UKBG3M5U5TI,B00000016T,5.0,1117843200
A29ZFGK1WJZ873,B00000016T,5.0,1092268800
A1C0C9IJO2HS03,B00000016W,5.0,1044489600
A22N9H8V0RYQR3,B00000016W,1.0,1125273600
A1E110L9ZKX6FD,B00000016W,5.0,1078185600
A3HU0B9XUEVHIM,B00000016W,5.0,1321056000
A252HNVAZENVNE,B00000016W,5.0,1060732800
A1IKOYZVFHO1XP,B00000016W,5.0,1107216000
A1Q02WFA087CTF,B00000016W,5.0,1089763200
A1534MBU6VJXYN,B00000016W,5.0,1127779200
A33L1SEOXFGL44,B00000016W,1.0,1240963200
AH1KJ45IQTM4T,B00000016W,1.0,1069977600
A31HTN51QNSQ3F,B00000016W,5.0,1124496000
A1V1H3JX5VAMCS,B00000016W,5.0,1178928000
A1AJR4BFQ5AW68,B00000016W,5.0,1059264000
A2TAPL67U2A5HM,B00000016W,4.0,1243036800
A2UO10VW2BLHUM,B00000016W,5.0,1076198400
A2KBD1LU5OPMNH,B00000016W,5.0,1153699200
AE5F46Q10VPCE,B00000016W,5.0,932774400
A38IRL0X2T4DPF,B00000016W,3.0,1141603200
A36RS7KTNOBROF,B00000016W,5.0,976838400
A1X4ASH2JYVK9P,B00000016W,5.0,1013212800
A3M1PB13ZBJ3E3,B00000016W,5.0,1113350400
A3G10NPD661EQD,B00000016W,5.0,1136419200
A23MZ5EULW2GHH,B00000016W,5.0,989107200
ANBSW3BALFRR2,B00000016W,5.0,1107388800
A32EDSKLEUZ3Y7,B00000016W,5.0,1082160000
A3GHQ2D2Q1DGQC,B00000016W,5.0,1120953600
AS558SNWF1DXG,B00000016W,5.0,1115078400
A27CFNHYZG6WS8,B00000016W,5.0,994204800
