reviewerID,asin,overall,unixReviewTime
AEJHL4TIP7GQ7,0005019281,3.0,1388448000
AKYF4DAGHMC7N,0005019281,4.0,1162771200
A1BNHMIPVZN99Z,0005119367,5.0,1329955200
A388I3YOZ2ZPKR,0005119367,5.0,1266624000
A175TVQLNLP30,0005119367,5.0,1387756800
A2YN8XPTHXC41Q,0005119367,5.0,1376524800
A2H3ISQ4QB95XN,0307141985,4.0,1322006400
A61GWP334KBZB,0307142469,5.0,1379203200
A173YVKVW3EUM,0307142469,5.0,1190332800
A1ALD09SAYLVYI,0307142485,5.0,1385078400
AZ0MUPV0DU1R9,0307142485,1.0,1229644800
A3SPVZZ3P3HTYY,0307142493,5.0,1266364800
AETU6WZAUMX53,0307142493,5.0,1356393600
AZ0MUPV0DU1R9,0307142493,5.0,1229644800
A61GWP334KBZB,0307514161,5.0,1379203200
A2M7J1SNS7HS6Y,0307514161,5.0,1296172800
A1XGTERS7UVRU5,0307514161,5.0,1004572800
AXSNNFROR5O5H,0310263662,5.0,1093824000
A2ELP13J2HSGJQ,0310263662,3.0,1131408000
A1E110L9ZKX6FD,0310263662,5.0,1094169600
A2UKC6QFG9L5GV,0310263662,5.0,1133481600
A2E7HT57OEJCB,0310263662,1.0,1189900800
A1DL3RW1WHOC2K,0310263662,5.0,1227657600
A1S5HVY2G00I1Q,0310263662,5.0,1388275200
A2DVY25LHB7190,0310263662,5.0,1378771200
A3UZ6O6M7BJHFK,0310263662,1.0,1093824000
A32Z8ZV7E5N8AV,0310263662,4.0,1105228800
A3R8O489WZTYGF,0310263662,5.0,1077926400
A1V2LHLYYXE3UA,0310263662,5.0,1087344000
A2CKKECGBWLWIB,0310263662,5.0,1370649600
A2DM12Q3QQ9E4J,0310263662,4.0,1266364800
A3Q44JBPTVOSB2,0310263662,4.0,1389312000
A2HG5MY4YOY7N2,0310263662,5.0,1077926400
A304O3WIHBUNQQ,0310263662,5.0,1316476800
A2DAHERP7HYJGO,0310263662,5.0,1205539200
A1OEPOXLYU51XD,0310263662,5.0,1330041600
ANWO7TBRL50FU,0310263662,5.0,1123459200
AESY8NCX6VS6O,0310263662,5.0,1077753600
A23DWPG5UMSXKF,0310263662,1.0,1094688000
A2JRDOWO0MKNNT,0310263662,5.0,1093996800
A2R1FLU33VJR8O,0310263662,4.0,1379203200
AZZ1KF8RAO1BR,0310263662,2.0,1094169600
A2MYM80VF2H9O0,0310263662,5.0,1358899200
A26MLKAE15UV31,0310263662,2.0,1111708800
A1J683GO7M4YVE,0310274281,5.0,1377216000
A33B6DD88Y07M8,0310274281,5.0,1360886400
