users,items
488,0
2588,0
573,0
3918,0
4954,0
2585,0
2584,0
840,0
3673,0
4579,1
1916,2
591,2
4403,3
4105,4
652,5
4309,5
2294,5
942,5
991,5
4181,5
3823,5
4311,5
2432,5
1791,5
4069,5
4997,5
1349,5
1988,5
3900,5
3450,5
307,5
3089,5
3190,5
4268,5
923,5
4284,5
4861,5
2702,5
1066,5
276,5
1804,5
1989,5
1223,5
4901,5
1847,5
3722,5
954,5
1118,5
2584,5
2816,5
3788,5
1786,5
2676,5
2284,5
1708,5
1416,5
4177,5
3516,5
2691,5
1480,5
1184,5
3220,6
3583,6
3450,6
1012,6
254,6
2856,6
805,6
1431,6
3819,6
692,6
1738,7
2820,8
1459,9
3347,10
433,10
2164,10
1918,10
4535,11
2474,12
2285,12
1892,13
521,14
3569,14
3703,14
3180,14
4852,14
1494,14
2826,15
452,15
4330,15
802,15
1041,15
4477,16
3068,16
2672,17
1541,17
290,17
2980,17
4330,17
1688,17
3312,17
3076,17
173,17
533,17
2157,17
1272,17
2753,17
792,17
2823,17
2711,17
4512,17
2686,17
816,17
1778,17
3666,17
2285,17
1330,17
4119,17
1984,18
1642,18
1642,19
3109,19
3097,19
2168,20
4446,21
1892,22
4664,22
1619,23
803,24
56,25
2620,26
2571,27
4992,27
4907,27
4833,28
4429,28
591,29
3759,30
56,31
4796,32
2063,33
4330,34
2896,34
3109,35
4535,36
1984,37
473,37
2867,38
2712,39
190,40
591,41
884,42
1608,43
2588,44
1763,45
591,46
4671,47
459,47
748,47
1713,47
884,48
2724,48
1480,49
4429,50
3205,51
4805,52
591,53
665,54
852,54
4259,54
1011,55
2260,56
420,56
1589,56
765,56
3698,56
3224,56
3951,57
977,58
433,58
2826,59
1644,59
4330,59
3678,59
4817,59
3828,59
2954,59
361,60
327,61
327,62
2071,63
591,64
3012,65
4508,65
1079,65
1012,65
816,65
84,65
2826,66
2484,66
2285,66
4539,66
2285,67
4330,68
354,69
1647,69
4330,69
3789,69
4090,69
3949,69
2285,69
2294,70
1347,71
2294,72
3898,72
3096,72
3700,72
2811,72
3776,72
3840,72
2203,72
3072,72
3173,72
2816,72
3370,72
2294,73
148,74
2555,74
2557,75
2989,76
587,77
2380,77
805,77
2734,77
1374,78
4796,79
1166,80
4796,80
96,81
3704,81
2294,82
3340,82
1029,82
3450,82
1861,82
1806,82
1989,82
2663,82
3883,83
587,84
4403,84
2319,85
1221,85
1930,85
3096,85
4391,85
3840,85
1989,85
1223,85
805,85
3470,85
200,86
4737,86
2924,87
3287,88
3777,88
1892,89
687,90
420,90
4391,90
244,90
3173,90
4838,90
2284,90
2832,91
733,92
3558,93
1976,94
733,94
4606,94
797,94
378,95
483,95
4888,96
1020,97
1255,98
3569,98
2105,98
3450,99
1989,99
4561,99
2071,100
3675,100
2786,101
2064,101
1194,101
3400,101
967,101
801,101
1255,101
1672,101
1374,101
1273,101
4864,101
2722,101
1757,101
2985,101
2113,101
1237,101
2297,101
4397,101
1005,101
1079,101
1112,101
710,101
591,101
4769,101
2581,101
1540,101
4460,101
2255,101
4629,101
1164,101
829,101
7,101
2094,101
4635,101
577,101
936,101
1122,101
773,101
4182,101
3509,101
1233,101
1911,101
3133,101
4410,101
1892,101
809,101
2578,101
1698,101
816,101
3973,101
3468,101
529,101
3802,101
4894,101
2724,101
310,101
535,101
3821,101
3574,101
4754,101
3129,101
4604,101
1290,101
4562,101
1763,102
1374,103
2777,103
1034,103
4967,103
838,104
838,105
1540,106
4682,107
587,108
4948,109
304,109
4253,109
829,109
3070,109
2856,109
2284,109
3370,109
1453,109
3777,109
2571,110
1431,111
3759,112
1079,113
2294,114
591,114
633,114
3840,114
2856,114
2816,114
3516,114
1916,115
77,115
4668,115
3450,115
2235,115
2590,116
3518,116
2578,116
2888,117
2782,117
4378,117
967,118
1981,118
3676,118
1246,118
4093,118
829,118
1892,118
2474,118
2128,118
4378,118
1184,118
4782,119
3450,120
1308,120
1477,121
2386,121
606,122
2138,123
2887,124
1638,124
3772,124
1827,124
1583,124
440,124
1233,124
1892,124
4862,124
2053,124
2071,124
1480,124
4796,124
1583,125
1233,125
2071,125
4796,125
1233,126
