users,items
3620,0
4774,0
4649,1
591,1
1204,1
3713,1
1197,1
4137,2
4598,2
4397,3
4137,4
3867,5
219,5
4137,5
3811,5
2186,5
2651,5
4598,5
1818,6
3852,6
2786,7
1663,7
4649,7
4139,7
1314,7
2058,7
4331,7
2860,7
1303,7
145,7
4473,7
658,7
910,7
1393,7
1974,7
3271,7
3729,7
3751,7
2936,7
65,7
670,7
401,7
2329,7
3700,7
738,7
3584,7
307,7
3769,7
304,7
3405,7
3131,7
2588,7
573,7
962,7
432,7
2803,7
524,7
829,7
2346,7
1508,7
1908,7
1593,7
4360,7
499,7
61,7
837,7
433,7
1401,7
528,7
746,7
3687,7
2597,7
3879,7
421,7
4131,7
1654,7
4037,7
529,7
1163,7
4032,7
772,7
2285,7
3574,7
1730,7
2441,7
3541,7
4074,7
3990,7
360,7
424,7
1455,7
4598,7
58,8
3345,8
4011,8
3480,8
781,9
2168,10
680,11
1704,11
4649,12
929,12
2295,12
2841,12
573,12
420,13
511,14
4281,14
3084,15
2368,15
4377,15
511,16
4609,16
856,16
594,16
3340,17
2786,19
4478,19
1638,20
3418,20
530,22
3269,23
513,23
4035,23
1274,24
4340,25
3652,25
534,25
3524,26
4756,27
534,27
628,28
2943,28
2165,29
1371,29
1618,29
4678,29
1683,29
221,30
2050,30
2588,30
534,30
4514,30
490,30
4050,31
145,31
591,31
1974,32
4424,32
2518,33
4620,33
3524,33
4656,34
1800,34
587,34
1710,34
1374,35
145,35
4539,35
3524,35
3777,36
3015,36
3642,37
2155,37
287,37
1638,38
660,38
1995,39
3193,39
1892,39
421,39
221,40
3193,40
4587,40
3822,41
3764,41
711,41
999,41
3193,41
2378,42
2389,42
4429,43
534,43
1296,44
4655,44
2280,45
2964,45
4087,45
2346,45
1593,45
3333,45
1374,46
3955,46
3652,46
2063,46
2012,46
1624,46
2672,47
3817,48
3834,48
2922,48
2811,48
1251,48
3430,48
3261,48
4868,48
3795,48
1618,48
3171,48
1478,48
3498,48
4216,48
1426,48
695,48
4050,49
342,49
2750,49
254,49
4050,50
3676,51
1757,51
2531,51
223,51
4378,52
1612,53
3742,54
4139,55
