users,items
3622,0
4409,1
3879,1
1403,2
905,2
2473,2
4053,2
2333,3
3304,4
3449,4
4098,5
4823,6
4729,6
4948,6
3890,6
472,7
2688,8
726,9
1088,9
2704,9
4067,9
2639,9
1808,10
121,11
1929,12
4561,12
600,12
3940,12
3651,12
1792,12
162,12
231,12
1762,12
2887,12
2823,12
1836,12
4822,12
1546,12
1195,12
4533,12
2340,12
1230,12
2618,12
4990,13
3597,13
380,13
4855,13
4247,13
1655,13
4538,13
2526,13
1503,13
4554,13
2747,13
3366,13
3701,13
2265,14
2548,14
193,14
2879,14
4561,15
4001,15
4413,16
2896,16
231,16
1434,16
100,16
466,16
2823,16
911,16
3948,16
3528,16
1741,16
3676,17
2420,17
380,17
4862,17
4855,17
1808,17
3583,17
1715,17
580,17
4001,17
1365,17
3796,17
1032,17
1434,17
1949,17
2357,17
91,17
1738,17
671,17
2345,17
3480,17
2998,17
543,17
4874,17
3472,17
1227,17
1170,17
4508,17
2229,17
1165,17
1860,17
1251,17
4666,17
4537,18
2297,18
590,18
1156,18
3201,18
3210,18
3797,18
380,18
4855,18
1808,18
4895,18
4166,18
3679,18
1903,18
2357,18
91,18
1738,18
671,18
2998,18
2747,18
4874,18
4726,18
3362,18
4413,19
4146,19
2755,19
4316,19
4500,19
1108,19
3212,19
1133,19
1704,19
4222,19
1795,19
2896,19
1038,19
4772,19
231,19
100,19
2573,19
3646,19
2588,19
615,19
604,19
2975,19
2639,19
4280,19
678,19
4117,19
2265,20
385,20
590,21
2297,22
195,22
1761,22
516,22
2521,22
701,22
1467,23
4641,23
2980,23
4567,23
3201,24
4835,24
4328,24
671,24
1654,24
4110,25
1379,25
985,25
129,25
2715,25
1950,25
2758,26
903,26
1227,26
3203,26
4363,26
1851,27
2270,27
1792,27
70,27
3083,27
4316,28
4059,29
4067,29
4185,29
3955,29
4554,30
2552,30
1816,30
1228,30
3419,30
3474,31
4855,32
438,32
3201,33
1741,34
4117,34
4661,35
4067,35
4067,36
3677,36
725,37
1517,37
3796,38
2521,38
2364,39
344,39
610,39
1813,40
1929,40
3325,40
684,40
4848,40
4521,40
3083,40
360,40
4067,40
402,40
3780,40
1355,41
3155,41
1741,42
168,43
1529,44
961,45
3501,46
4482,46
4894,46
3661,46
2448,46
2364,47
1982,47
553,47
3257,47
3866,47
3271,47
1761,48
2725,48
1608,48
3241,49
2364,49
4316,50
195,50
4500,50
1792,50
1741,50
3679,51
2747,51
4040,52
2055,52
1056,52
4990,53
4040,53
287,53
2694,53
2062,53
1567,53
4960,53
2823,53
1942,53
2054,53
4423,53
1557,53
4466,54
1549,55
4667,55
3415,56
1654,56
2297,57
796,57
3664,57
3679,57
2473,57
807,58
3699,58
1239,59
4117,59
1876,60
3641,60
2848,60
4155,60
4067,60
4365,60
477,60
3953,60
4413,61
3833,61
1038,61
4516,61
1696,61
4500,62
3585,62
1515,62
4221,62
4530,62
3086,63
2777,63
4423,63
4807,63
1470,63
2857,63
2730,63
4186,64
1546,65
706,66
4735,67
3067,67
1524,67
1889,67
2674,67
550,68
4147,68
1355,68
4625,68
4230,68
591,68
1431,68
4277,68
136,68
3165,68
4919,68
1281,68
4453,68
926,68
2819,68
2792,68
3328,68
1761,69
3433,69
2859,69
1577,69
3479,69
4277,69
2913,69
1470,69
219,69
4203,69
866,69
2441,69
4453,69
2459,69
3618,69
4413,70
2990,70
4990,70
4175,70
905,70
3988,70
526,70
2347,70
3596,70
4230,70
3067,70
937,70
1303,70
150,70
4685,70
2238,70
3964,70
3455,70
911,70
990,70
3011,70
4799,70
2913,70
4066,70
2612,70
4203,70
3409,70
359,70
4874,70
2700,70
2441,70
1505,70
2033,70
3642,70
4879,70
4106,70
3668,70
4453,70
1989,70
3025,70
926,70
3419,70
2792,70
2786,70
1111,71
3953,71
1467,72
1041,72
469,72
1959,72
3261,72
3164,72
1331,72
1527,72
2648,72
1632,72
2210,72
4015,72
1427,72
1540,73
1133,74
1547,74
3833,75
814,75
551,75
2119,76
4038,76
3194,77
4988,77
2980,77
1422,77
380,77
2270,77
3560,77
3202,77
484,77
2809,77
4882,77
1067,77
161,77
1738,77
3132,77
4365,77
1504,77
359,77
239,77
3784,77
1458,77
4967,77
4990,78
2276,78
4561,78
258,78
4692,78
4040,78
3617,78
3615,78
1930,78
1448,78
4958,78
1060,78
1122,78
2995,78
4401,78
4832,78
2357,78
3075,78
3693,78
1961,78
2094,79
3680,79
136,79
3693,79
3200,79
3289,79
2229,79
2458,79
255,79
2357,80
1448,81
3854,81
4445,81
4098,82
34,82
2045,82
3833,82
300,82
497,82
4558,82
666,82
3,82
2465,82
1038,82
780,82
4002,82
4024,82
4585,82
4768,82
2781,82
1303,82
4834,82
3242,82
4251,82
1226,82
1059,82
706,82
671,82
3556,82
4870,82
316,82
95,82
1261,82
2673,82
1522,82
3429,82
4185,82
1452,82
346,82
687,82
1176,82
3498,82
1899,82
678,82
1501,82
3024,83
3776,83
3379,83
3415,83
2134,83
1959,83
1031,83
2008,83
2631,83
1222,83
1447,83
4181,83
869,83
2210,83
701,83
2996,83
4561,84
4222,84
3474,84
1037,84
3720,85
4247,85
288,86
3430,86
3474,87
3528,87
115,88
3488,88
4716,88
1319,88
780,88
3474,88
3103,88
1797,88
2900,88
2441,88
1328,88
4683,88
2758,89
838,89
4952,89
418,89
3867,89
3480,89
3331,89
2548,90
1696,90
4413,91
3622,91
2896,91
2263,91
937,91
70,91
2778,91
2752,91
1487,91
3155,91
4461,91
4442,91
2778,92
2752,92
391,92
1731,93
2048,93
937,93
2631,93
3644,93
2413,93
193,93
2309,93
926,93
4413,94
684,94
4188,94
195,94
4222,94
2573,94
4273,94
129,94
3419,94
1741,94
600,95
195,95
3162,95
512,95
1049,95
1355,95
1750,95
436,95
1519,95
3474,95
553,95
231,95
1567,95
2777,95
1434,95
3794,95
2823,95
9,95
2845,95
804,95
4660,95
795,95
4536,95
4376,96
1355,96
4230,96
1410,96
2778,96
4554,96
391,96
2441,96
1521,97
2020,97
1462,97
2755,98
1175,99
70,99
4461,99
3059,99
4413,100
3940,100
3720,100
2877,100
4319,100
2048,100
1715,100
1043,100
4384,100
100,100
4471,100
4693,100
3085,100
123,100
2345,100
3035,100
701,100
623,100
1462,100
3511,100
1637,101
3325,102
2256,102
208,102
2817,102
1421,102
2548,102
4067,102
2428,102
2736,102
406,102
1247,102
986,102
3440,103
1904,104
2896,104
2738,104
4277,104
285,104
2925,105
4855,105
2540,105
4971,105
3281,105
4130,105
4870,105
4067,105
610,105
1741,105
4067,106
2048,107
926,107
2045,108
2003,108
519,108
805,108
2364,109
3419,110
3415,111
4795,111
2008,112
4210,112
797,112
2778,113
3035,113
3096,114
4844,114
4110,114
4158,114
4533,114
1950,114
3906,114
3480,115
2671,115
1956,115
4413,116
34,117
1731,117
1859,117
4431,117
937,117
2631,117
2137,117
3257,119
3866,119
2048,120
1049,120
1829,120
1484,120
3346,120
1741,120
4258,121
1843,121
2364,122
937,122
2786,122
4067,123
3092,124
3362,124
4561,125
4952,126
4587,126
2364,126
100,126
4067,126
3325,127
2725,127
4661,127
4272,127
695,128
701,129
2704,130
3673,130
935,131
4320,131
2364,131
100,131
1721,132
2896,132
4495,132
2883,132
1132,132
1165,132
1988,132
2590,133
1037,133
4370,134
755,134
2210,134
3673,134
1184,135
3940,136
4387,136
4384,136
4772,136
2948,136
789,136
701,136
1808,137
1768,137
3241,138
1761,138
1540,138
4476,138
2364,138
344,138
4059,138
2823,138
1577,138
3866,138
2902,138
2563,138
2975,138
757,138
2321,139
1235,140
4067,140
3127,141
2103,141
2835,142
2992,142
4188,143
2725,143
2980,143
100,143
4110,143
695,143
615,143
1440,144
2650,144
798,144
1967,144
2552,144
1113,144
3928,144
4098,145
3656,145
3519,145
4067,145
1463,145
1463,146
4413,147
2980,147
3051,147
