users,items
3194,0
4988,0
2980,0
1422,0
380,0
2270,0
3560,0
3202,0
484,0
2809,0
4882,0
1067,0
161,0
1738,0
438,0
3132,0
4365,0
1504,0
359,0
239,0
1458,0
4967,0
1204,1
1343,1
3676,1
796,1
4690,1
1245,1
148,1
3648,1
1675,1
3106,1
4108,1
4240,1
3861,2
2725,2
1871,2
4269,2
4629,2
436,2
1519,2
4247,2
834,2
4030,2
19,2
3744,2
161,2
4739,2
1738,2
1612,2
3886,2
4628,2
2723,2
1314,2
1037,2
2445,2
1132,2
805,2
423,2
2441,2
573,2
1427,2
2379,2
1269,2
926,2
3419,2
1469,2
3707,2
4280,2
3883,2
1722,2
441,3
1430,3
514,3
3325,3
1521,3
684,3
973,3
195,3
2802,3
4341,3
2721,3
1157,3
381,3
2420,3
2474,3
2069,3
4236,3
2980,3
2925,3
1238,3
3488,3
3252,3
4558,3
2753,3
3263,3
4716,3
1622,3
325,3
3859,3
326,3
4981,3
3829,3
4016,3
3134,3
121,3
80,3
4895,3
4662,3
4972,3
1591,3
1792,3
1766,3
1982,3
4384,3
137,3
4951,3
602,3
1762,3
1434,3
100,3
606,3
1963,3
4708,3
2897,3
2662,3
1109,3
2008,3
1534,3
3731,3
3577,3
3164,3
123,3
4251,3
4327,3
911,3
660,3
2212,3
4739,3
867,3
53,3
1738,3
4610,3
4473,3
3135,3
4358,3
1417,3
316,3
3621,3
1239,3
2845,3
871,3
2478,3
2682,3
3378,3
755,3
2775,3
4645,3
604,3
2130,3
3125,3
1072,3
1892,3
663,3
3642,3
3265,3
1385,3
2412,3
129,3
2351,3
3052,3
3832,3
3687,3
1273,3
4769,3
334,3
2996,3
686,3
1469,3
4666,3
3883,3
1462,3
1696,3
3976,3
1722,3
4324,4
1622,4
2047,4
3779,4
3303,4
1792,4
4024,4
2090,4
4739,4
2345,4
2223,4
1981,4
1862,4
2653,4
786,4
2976,4
2031,4
198,5
1123,5
3480,5
2736,5
1633,6
2902,6
2593,6
2453,6
2470,7
1633,7
2902,7
2593,7
2453,7
2470,8
1766,8
202,8
1633,8
2453,8
1842,8
2159,8
3726,8
4961,9
673,9
1111,9
325,9
3664,9
1766,9
581,9
1770,9
1633,9
549,9
2902,9
2593,9
2453,9
1037,9
603,9
3883,9
953,9
548,10
1766,10
1730,10
1770,10
2902,10
3540,10
2593,10
1261,10
56,10
3632,10
3906,10
2423,11
4724,11
1843,11
1119,11
2067,12
1279,12
3077,12
854,12
2759,12
59,12
4740,12
4178,12
1889,12
4973,12
853,13
4890,13
405,13
1884,13
1642,13
2059,13
2201,13
4621,13
1496,13
4201,13
1733,13
3288,13
4067,13
1112,13
4357,13
1669,13
122,13
2937,13
1150,13
1884,14
1778,14
4868,14
4823,14
3834,14
3392,14
3128,14
2162,14
3456,14
272,14
3252,15
4868,15
3128,15
710,15
3456,15
243,15
4117,15
3325,16
684,16
3357,16
1700,16
221,16
4603,16
604,16
684,17
3357,17
3648,17
604,17
2126,17
684,18
3676,18
2508,18
2270,18
927,18
2954,18
3304,18
4166,18
231,18
465,18
3731,18
4458,18
3659,18
4067,18
1037,18
3010,18
1229,18
853,19
4952,19
4067,19
261,19
2937,19
1462,19
4316,20
3998,20
1837,20
3598,20
4002,20
1318,20
60,20
551,20
239,20
1336,20
757,20
1886,21
3128,21
